Date,Inflation_Ukraine_actual,Inflation_Eurozone_actual,Counterfactual_pure,Counterfactual_weighted,theta_sovereignty
2019-03-01,8.6,1.4,-0.33685058165189896,-0.33685058165189896,1.0
2019-04-01,8.8,1.7,-0.15681876212385482,-0.15681876212385482,1.0
2019-05-01,9.6,1.2,-0.7807941068057143,-0.7807941068057143,1.0
2019-06-01,9.0,1.3,-0.6789390393521908,-0.6789390393521908,1.0
2019-07-01,9.1,1.0,-0.9462084282685836,-0.9462084282685836,1.0
2019-08-01,8.8,1.0,-0.9284462581108763,-0.9284462581108763,1.0
2019-09-01,7.5,0.8,-1.0763614172575908,-1.0763614172575908,1.0
2019-10-01,6.5,0.7,-0.9957242908686943,-0.9957242908686943,1.0
2019-11-01,5.1,1.0,-0.34399859806474997,-0.34399859806474997,1.0
2019-12-01,4.1,1.3,0.3762271008165463,0.3762271008165463,1.0
2020-01-01,3.2,1.4,0.8153554623380748,0.8153554623380748,1.0
2020-02-01,2.4,1.2,0.7461359105501661,0.7461359105501661,1.0
2020-03-01,2.3,0.7,0.47564017441011375,0.47564017441011375,1.0
2020-04-01,2.1,0.3,0.72887600878968,0.72887600878968,1.0
2020-05-01,1.7,0.1,1.1984201798665401,1.1984201798665401,1.0
2020-06-01,2.4,0.3,1.6220513304131372,1.6220513304131372,1.0
2020-07-01,2.4,0.4,1.6402207149583785,1.6402207149583785,1.0
2020-08-01,2.5,-0.2,0.9458109805842634,0.9458109805842634,1.0
2020-09-01,2.3,-0.3,0.7580743670159904,0.7580743670159904,1.0
2020-10-01,2.6,-0.3,0.6826813520110555,0.6826813520110555,1.0
2020-11-01,3.8,-0.3,0.4734873276555463,0.4734873276555463,1.0
2020-12-01,5.0,-0.3,-0.005308952790158028,-0.005308952790158028,1.0
2021-01-01,6.1,0.9,0.9399864128248129,0.9399864128248129,1.0
2021-02-01,7.5,0.9,0.96982236762645,0.96982236762645,1.0
2021-03-01,8.5,1.3,1.182844129894101,1.182844129894101,1.0
2021-04-01,8.4,1.6,0.7531879829675848,0.7531879829675848,1.0
2021-05-01,9.5,2.0,0.4566783536654544,0.4566783536654544,1.0
2021-06-01,9.5,1.9,0.0749624014022705,0.0749624014022705,1.0
2021-07-01,10.2,2.2,0.278881584327217,0.278881584327217,1.0
2021-08-01,10.2,3.0,1.0147773702375362,1.0147773702375362,1.0
2021-09-01,11.0,3.4,1.417262366050947,1.417262366050947,1.0
2021-10-01,10.9,4.1,2.096438175105198,2.096438175105198,1.0
2021-11-01,10.3,4.9,2.8649223334293357,2.8649223334293357,1.0
2021-12-01,10.0,5.0,3.027317835221678,3.027317835221678,1.0
2022-01-01,10.0,5.1,3.1064669501880084,3.1064669501880084,1.0
2022-02-01,10.7,5.9,4.2336806951714046,4.2336806951714046,1.0
2022-03-01,13.7,7.4,7.890749154162123,7.890749154162123,1.0
2022-04-01,16.4,7.5,10.841948101232,10.841948101232,1.0
2022-05-01,18.0,8.1,13.584152393782382,13.584152393782382,1.0
2022-06-01,21.5,8.6,15.81000348136228,15.81000348136228,1.0
2022-07-01,22.2,8.9,17.65716918568569,17.65716918568569,1.0
2022-08-01,23.8,9.1,19.14277433024536,19.14277433024536,1.0
2022-09-01,24.6,9.9,20.986975473840012,20.986975473840012,1.0
2022-10-01,26.6,10.6,22.646327897046444,22.646327897046444,1.0
2022-11-01,26.5,10.1,23.01132070716271,23.01132070716271,1.0
2022-12-01,26.6,9.2,22.948981781643162,22.948981781643162,1.0
2023-01-01,26.0,8.6,22.974955470156594,22.974955470156594,1.0
2023-02-01,24.9,8.5,22.885644492343175,22.885644492343175,1.0
2023-03-01,21.3,6.9,18.496474191999134,18.496474191999134,1.0
2023-04-01,17.9,6.9,14.948569183249495,14.948569183249495,1.0
2023-05-01,15.3,6.1,11.682479667191808,11.682479667191808,1.0
2023-06-01,12.8,5.5,9.070576858704003,9.070576858704003,1.0
2023-07-01,11.3,5.3,7.2008669817152295,7.2008669817152295,1.0
2023-08-01,8.6,5.2,5.6175139699822845,5.6175139699822845,1.0
2023-09-01,7.1,4.3,3.522779532103824,3.522779532103824,1.0
2023-10-01,5.3,2.9,1.008100389157554,1.008100389157554,1.0
2023-11-01,5.1,2.4,-0.5826368704807625,-0.5826368704807625,1.0
2023-12-01,5.1,2.9,-1.2388716469537937,-1.2388716469537937,1.0
2024-01-01,4.7,2.8,-2.3451268265877294,-2.3451268265877294,1.0
2024-02-01,4.3,2.6,-3.0924737813861456,-3.0924737813861456,1.0
2024-03-01,3.2,2.4,-3.364805835429252,-3.364805835429252,1.0
2024-04-01,3.2,2.4,-3.454035874651908,-3.454035874651908,1.0
2024-05-01,3.3,2.6,-3.2081745407763287,-3.2081745407763287,1.0
2024-06-01,4.8,2.5,-2.891888724578666,-2.891888724578666,1.0
2024-07-01,5.4,2.6,-2.2695807014884015,-2.2695807014884015,1.0
2024-08-01,7.5,2.2,-2.0885929312861853,-2.0885929312861853,1.0
2024-09-01,8.6,1.7,-2.2250335806951194,-2.2250335806951194,1.0
2024-10-01,9.7,2.0,-1.743213677463082,-1.743213677463082,1.0
2024-11-01,11.2,2.2,-1.292563615250554,-1.292563615250554,1.0
2024-12-01,12.0,2.4,-0.7230701827884762,-0.7230701827884762,1.0
2025-01-01,12.9,2.5,-0.1297649880580165,-0.1297649880580165,1.0
2025-02-01,13.4,2.3,0.3140903848000751,0.3140903848000751,1.0
2025-03-01,14.6,2.2,0.8075844419373044,0.8075844419373044,1.0
2025-04-01,15.1,2.2,1.2657692683845236,1.2657692683845236,1.0
